Train: 3872 Test: 968

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 073: train 1.6416e-02 | val 3.5805e-02
Epoch 074: train 1.6379e-02 | val 3.5998e-02
Epoch 075: train 1.6354e-02 | val 3.5744e-02
Epoch 076: train 1.6412e-02 | val 3.8094e-02
Epoch 077: train 1.6418e-02 | val 3.7960e-02
Epoch 078: train 1.6315e-02 | val 3.6684e-02
Epoch 079: train 1.6336e-02 | val 3.7439e-02
Epoch 080: train 1.6318e-02 | val 3.7085e-02
Epoch 081: train 1.6316e-02 | val 3.7175e-02
Epoch 082: train 1.6390e-02 | val 3.8973e-02
Epoch 083: train 1.6398e-02 | val 3.8197e-02
Epoch 084: train 1.6211e-02 | val 3.6994e-02
Epoch 085: train 1.6210e-02 | val 3.7372e-02
Epoch 086: train 1.6297e-02 | val 3.7827e-02
Epoch 087: train 1.6240e-02 | val 3.7311e-02
Epoch 088: train 1.6217e-02 | val 3.6450e-02
Epoch 089: train 1.6229e-02 | val 3.7122e-02
Epoch 090: train 1.6264e-02 | val 3.6636e-02
Epoch 091: train 1.6157e-02 | val 3.7293e-02
Epoch 092: train 1.6139e-02 | val 3.7248e-02
Epoch 093: train 1.6168e-02 | val 3.7198e-02
Epoch 094: train 1.6225e-02 | val 3.6982e-02
Epoch 095: train 1.6297e-02 | val 3.6933e-02
Epoch 096: train 1.6129e-02 | val 3.8121e-02
Epoch 097: train 1.6072e-02 | val 3.8424e-02
Epoch 098: train 1.6136e-02 | val 3.7638e-02
Epoch 099: train 1.6159e-02 | val 3.8242e-02
Epoch 100: train 1.6086e-02 | val 3.8069e-02
Epoch 101: train 1.6042e-02 | val 3.7710e-02
Epoch 102: train 1.6128e-02 | val 3.8181e-02
Epoch 103: train 1.6140e-02 | val 3.8701e-02
Epoch 104: train 1.6125e-02 | val 3.8498e-02
Epoch 105: train 1.6077e-02 | val 3.8209e-02
Epoch 106: train 1.6139e-02 | val 3.7687e-02
Epoch 107: train 1.6050e-02 | val 3.7104e-02
Epoch 108: train 1.6067e-02 | val 3.7612e-02
Epoch 109: train 1.6099e-02 | val 3.6971e-02
Epoch 110: train 1.6054e-02 | val 3.7750e-02
Epoch 111: train 1.6077e-02 | val 3.8009e-02
Epoch 112: train 1.6007e-02 | val 3.7755e-02
Epoch 113: train 1.6152e-02 | val 3.7496e-02
Epoch 114: train 1.6156e-02 | val 3.8048e-02
Epoch 115: train 1.6169e-02 | val 3.6752e-02
Epoch 116: train 1.6078e-02 | val 3.7873e-02
Epoch 117: train 1.6130e-02 | val 3.8288e-02
Epoch 118: train 1.6036e-02 | val 3.8029e-02
Epoch 119: train 1.6028e-02 | val 3.7709e-02
Epoch 120: train 1.6014e-02 | val 3.7519e-02
Epoch 121: train 1.6021e-02 | val 3.8713e-02
Epoch 122: train 1.5993e-02 | val 3.7993e-02
Epoch 123: train 1.6097e-02 | val 3.7871e-02
Epoch 124: train 1.6056e-02 | val 3.8509e-02
Epoch 125: train 1.6008e-02 | val 3.8512e-02
Epoch 126: train 1.6006e-02 | val 3.8607e-02
Epoch 127: train 1.6032e-02 | val 3.8999e-02
Epoch 128: train 1.6015e-02 | val 3.7690e-02
Epoch 129: train 1.6017e-02 | val 3.8516e-02
Epoch 130: train 1.6050e-02 | val 3.7998e-02
Epoch 131: train 1.5911e-02 | val 3.8842e-02
Epoch 132: train 1.5980e-02 | val 3.7568e-02
Epoch 133: train 1.5930e-02 | val 3.8470e-02
Epoch 134: train 1.5937e-02 | val 3.9336e-02
Epoch 135: train 1.5938e-02 | val 3.8845e-02
Epoch 136: train 1.5914e-02 | val 3.8870e-02
Epoch 137: train 1.5989e-02 | val 3.8814e-02
Epoch 138: train 1.5919e-02 | val 3.9126e-02
Epoch 139: train 1.5859e-02 | val 3.9358e-02
Epoch 140: train 1.5974e-02 | val 3.8585e-02
Epoch 141: train 1.6067e-02 | val 3.9701e-02
Epoch 142: train 1.5954e-02 | val 3.9320e-02
Epoch 143: train 1.5902e-02 | val 3.8526e-02
Epoch 144: train 1.5989e-02 | val 3.8163e-02
Epoch 145: train 1.5950e-02 | val 3.8670e-02
Epoch 146: train 1.5947e-02 | val 3.8970e-02
Epoch 147: train 1.5980e-02 | val 3.9470e-02
Epoch 148: train 1.6008e-02 | val 4.0468e-02
Epoch 149: train 1.6071e-02 | val 3.9598e-02
Epoch 150: train 1.5981e-02 | val 3.9407e-02
Epoch 151: train 1.5892e-02 | val 4.0363e-02
Epoch 152: train 1.5908e-02 | val 4.1215e-02
Epoch 153: train 1.5955e-02 | val 4.3110e-02
Epoch 154: train 1.5843e-02 | val 4.2715e-02
Epoch 155: train 1.5736e-02 | val 4.1943e-02
Epoch 156: train 1.5736e-02 | val 4.0993e-02
Epoch 157: train 1.5783e-02 | val 4.1826e-02
Epoch 158: train 1.5859e-02 | val 4.0925e-02
Epoch 159: train 1.5736e-02 | val 4.0146e-02
Epoch 160: train 1.5765e-02 | val 4.1883e-02
Epoch 161: train 1.5727e-02 | val 4.1432e-02
Epoch 162: train 1.5745e-02 | val 4.0438e-02
Epoch 163: train 1.5809e-02 | val 4.0522e-02
Epoch 164: train 1.5776e-02 | val 4.1837e-02
Epoch 165: train 1.5759e-02 | val 4.1807e-02
Epoch 166: train 1.5743e-02 | val 4.1450e-02
Epoch 167: train 1.5759e-02 | val 4.1858e-02
Epoch 168: train 1.5694e-02 | val 4.3044e-02
Epoch 169: train 1.5745e-02 | val 4.3990e-02
Epoch 170: train 1.5828e-02 | val 4.3181e-02
Epoch 171: train 1.5709e-02 | val 4.2495e-02
Epoch 172: train 1.5683e-02 | val 4.3107e-02
Epoch 173: train 1.5715e-02 | val 4.3983e-02
Epoch 174: train 1.5721e-02 | val 4.3777e-02
Epoch 175: train 1.5688e-02 | val 4.6118e-02
Epoch 176: train 1.5787e-02 | val 4.5338e-02
Epoch 177: train 1.5723e-02 | val 4.3686e-02
Epoch 178: train 1.5709e-02 | val 4.3668e-02
Epoch 179: train 1.5706e-02 | val 4.4309e-02
Epoch 180: train 1.5694e-02 | val 4.3678e-02
Epoch 181: train 1.5697e-02 | val 4.3564e-02
Epoch 182: train 1.5641e-02 | val 4.3230e-02
Epoch 183: train 1.5567e-02 | val 4.2791e-02
